UTC	Pack_count	q0	q1	q2	q3	RollRate	PitchRate	YawRate	Roll	Pitch	Yaw	FreeAccX	FreeAccY	FreeAccZ	Lat	Long	Height	VelX	VelY	VelZ	LoRaRSSI	LoRaSNR
21:08:50:23	0	0.99775	-0.026111	0.03676	-0.049713	-0.053894	0.097839	0.0019989	-3.2045	4.0575	-5.8184	0.18079	0.018951	-0.010178	24.80713	121.0242	56.95812	0.086792	0.0149307	56.9581	-41	6.5
21:08:50:54	0	0.99654	-0.037679	0.05465	-0.050093	-0.074707	0.12866	-0.0042915	-4.6473	6.0356	-6.0005	-0.016785	0.016937	-0.098694	24.80713	121.0242	56.96786	0.111511	0.0383606	56.9679	-41	6.75
21:08:50:85	0	0.99501	-0.051165	0.069754	-0.049712	-0.11127	0.065613	0.0022068	-6.3004	7.6849	-6.1439	0.038513	-0.20288	0.11249	24.80713	121.0242	56.96693	0.0654907	0.0422668	56.9669	-41	6
21:08:51:16	0	0.99367	-0.059152	0.081385	-0.049936	-0.012329	0.061432	-0.0030155	-7.31	8.9651	-6.3277	-0.55029	-0.15393	-0.23743	24.80713	121.0242	56.96975	0.0313416	-0.00137806	56.9697	-41	6.5
21:08:51:47	0	0.99321	-0.061518	0.085027	-0.050293	-0.027328	0.031128	-0.00057554	-7.6151	9.3643	-6.4222	-0.065796	0.00811	-0.01741	24.80713	121.0242	56.9353	0.0192566	0.0105209	56.9353	-42	6.5
21:08:51:78	0	0.99233	-0.065145	0.09181	-0.051116	-0.079041	0.075439	-0.0067787	-8.09783	10.1108	-6.61505	0.20105	0.39502	0.18079	24.80713	121.0242	56.92847	0.061615	0.0596313	56.9285	-41	6
21:08:52:09	0	0.99104	-0.07284	0.099488	-0.051441	0.020889	0.048859	0.0022449	-9.05994	10.9352	-6.81164	-0.11316	-0.46582	-0.0048904	24.80713	121.0242	56.93461	0.017746	0.00938416	56.9346	-41	6.25
21:08:52:40	0	0.9908	-0.074082	0.10081	-0.051632	-0.025375	-0.016968	0.0027561	-9.21823	11.0763	-6.86186	0.032959	-0.054016	0.022308	24.80713	121.0242	56.94331	-0.0101624	0.00737	56.9433	-39	-0.5
21:08:52:71	0	0.99068	-0.074833	0.10134	-0.051775	-0.0168	0.010788	-0.00026512	-9.31189	11.1307	-6.89272	0.05954	0.097717	-0.017258	24.80713	121.0242	56.91233	-0.00098896	0.0183411	56.9123	-42	6.5
21:08:53:02	0	0.99041	-0.07645	0.10268	-0.051912	-0.00088453	0.011238	-0.00032377	-9.51363	11.2709	-6.94165	-0.066101	-0.0080872	0.026337	24.80713	121.0242	56.92816	-0.00285912	0.0161743	56.9282	-42	6.75
21:08:53:33	0	0.99038	-0.076658	0.10288	-0.051879	0.0069923	0.0041504	-0.0010023	-9.53938	11.2935	-6.94253	0.0059853	-0.003418	0.014565	24.80713	121.0242	56.93028	-0.00646973	0.0138397	56.9303	-41	6.25
21:08:53:64	0	0.99018	-0.077963	0.10369	-0.052128	-0.015884	0.0097504	-0.0052872	-9.70136	11.3736	-6.99549	-0.056549	-0.0073814	-0.055908	24.80713	121.0242	56.93753	0.000468493	0.0317078	56.9375	-42	6.75
21:08:53:96	0	0.99002	-0.078904	0.10434	-0.052323	0.016464	0.02182	-0.0020161	-9.81936	11.4405	-7.03658	0.12311	-0.10693	0.080872	24.80713	121.0242	56.90271	0.00318909	0.0190735	56.9027	-39	-0.5
21:08:54:26	0	0.99008	-0.078547	0.10414	-0.052253	0.050995	-0.06897	-0.0039558	-9.77495	11.42	-7.02187	0.27979	-0.00058365	0.34033	24.80713	121.0242	56.90249	-0.0272217	0.00741196	56.9025	-42	7
